specimen_id,id_mm,material,batch,notes
Unknown1,35,nanocrystalline,,
B2D3,35,nanocrystalline,POC 1.0,
B2D4,35,nanocrystalline,POC 1.0,
B2D9,35,nanocrystalline,POC 1.0,
B57321,50,nanocrystalline,POC 2.0,
B57322,50,nanocrystalline,POC 2.0,
N9903,50,nanocrystalline,POC 2.0,
QinetiQ,,silicon steel,,
B5732B1,50,nanocrystalline,POC 2.0,Bobbin
N9902,50,nanocrystalline,POC 2.0,Bobbin
N9895,50,nanocrystalline,POC 2.0,Bobbin
