force_N,line_current_A,power_min_W,power_max_W,ct
0,5.2,0,0,Nanocrystalline - chipped
0,99.9,0,0,Nanocrystalline - chipped
5,5.2,0.07,0.07,Nanocrystalline - chipped
5,99.9,2.1,2.3,Nanocrystalline - chipped
10,5.2,0.07,0.07,Nanocrystalline - chipped
10,99.9,2.1,2.3,Nanocrystalline - chipped
15,5.2,0.07,0.07,Nanocrystalline - chipped
15,99.9,2.1,2.3,Nanocrystalline - chipped
20,5.2,0.07,0.07,Nanocrystalline - chipped
20,99.9,2.1,2.3,Nanocrystalline - chipped
25,5.2,0.07,0.07,Nanocrystalline - chipped
25,99.9,2.1,2.3,Nanocrystalline - chipped
30,5.2,0.07,0.07,Nanocrystalline - chipped
30,99.9,2.1,2.3,Nanocrystalline - chipped
