specimen_id,id_mm,material,batch,notes
B2D3,35,nanocrystalline,POC 1.0,
B2D4,35,nanocrystalline,POC 1.0,
B2D9,35,nanocrystalline,POC 1.0,
B57321,50,,,
B57322,50,,,
N9903,50,,,
